Num_Qubits,Noise_Level_Single,Noise_Level_Two,Eavesdropper_Present,Key_Generation_Rate,Final_Key_Length,Eavesdropper_Detected
4,0,0.05,False,37.5,150,False
4,0,0.05,True,18.5,74,False
4,0,0.05,False,0.0,0,True
4,0,0.05,True,63.25,253,True
4,0,0.05,False,51.75,207,True
4,0,0.05,True,0.0,0,True
4,0,0.05,False,0.0,0,True
4,0,0.05,True,0.0,0,True
4,0,0.05,False,27.25,109,True
4,0,0.05,True,36.75,147,True
4,0,0.05,False,17.75,71,True
4,0,0.05,True,69.75,279,False
4,0,0.05,False,25.75,103,True
4,0,0.05,True,0.0,0,True
4,0,0.05,False,0.0,0,True
4,0,0.05,True,0.0,0,True
4,0,0.05,False,24.5,98,True
4,0,0.05,True,22.5,90,True
4,0,0.05,False,0.0,0,True
4,0,0.05,True,0.0,0,True
4,0,0.05,False,28.0,112,True
4,0,0.05,True,38.75,155,True
4,0,0.05,False,0.0,0,True
4,0,0.05,True,26.75,107,False
4,0,0.05,False,0.0,0,True
4,0,0.05,True,52.0,208,False
4,0,0.05,False,16.25,65,True
4,0,0.05,True,38.75,155,True
4,0,0.05,False,47.5,190,False
4,0,0.05,True,0.0,0,True
4,0,0.05,False,50.5,202,False
4,0,0.05,True,39.0,156,True
4,0,0.05,False,0.0,0,True
4,0,0.05,True,26.5,106,True
4,0,0.05,False,38.25,153,False
4,0,0.05,True,0.0,0,True
4,0,0.05,False,0.0,0,True
4,0,0.05,True,49.5,198,True
4,0,0.05,False,47.0,188,True
4,0,0.05,True,79.0,316,True
4,0,0.05,False,46.5,186,True
4,0,0.05,True,59.5,238,True
4,0,0.05,False,56.0,224,False
4,0,0.05,True,0.0,0,True
4,0,0.05,False,0.0,0,True
4,0,0.05,True,186.75,747,False
4,0,0.05,False,26.25,105,True
4,0,0.05,True,105.0,420,False
4,0,0.05,False,51.0,204,False
4,0,0.05,True,20.0,80,False
4,0,0.05,False,26.0,104,True
4,0,0.05,True,53.0,212,False
4,0,0.05,False,36.5,146,False
4,0,0.05,True,0.0,0,True
4,0,0.05,False,0.0,0,True
4,0,0.05,True,38.5,154,False
4,0,0.05,False,25.5,102,True
4,0,0.05,True,0.0,0,True
4,0,0.05,False,0.0,0,True
4,0,0.05,True,0.0,0,True
4,0,0.05,False,21.5,86,True
4,0,0.05,True,23.5,94,True
4,0,0.05,False,37.75,151,False
4,0,0.05,True,62.75,251,True
4,0,0.05,False,38.0,152,False
4,0,0.05,True,0.0,0,True
4,0,0.05,False,38.0,152,False
4,0,0.05,True,62.75,251,True
4,0,0.05,False,26.75,107,True
4,0,0.05,True,25.25,101,False
4,0,0.05,False,34.5,138,False
4,0,0.05,True,21.5,86,False
4,0,0.05,False,40.5,162,True
4,0,0.05,True,20.25,81,True
4,0,0.05,False,28.75,115,True
4,0,0.05,True,22.25,89,True
4,0,0.05,False,38.0,152,False
4,0,0.05,True,36.25,145,True
4,0,0.05,False,55.5,222,False
4,0,0.05,True,58.5,234,True
4,0,0.05,False,53.5,214,False
4,0,0.05,True,22.0,88,True
4,0,0.05,False,27.75,111,True
4,0,0.05,True,41.0,164,False
4,0,0.05,False,37.25,149,False
4,0,0.05,True,55.0,220,True
4,0,0.05,False,25.25,101,True
4,0,0.05,True,0.0,0,True
4,0,0.05,False,0.0,0,True
4,0,0.05,True,22.5,90,True
4,0,0.05,False,0.0,0,True
4,0,0.05,True,38.5,154,True
4,0,0.05,False,51.0,204,False
4,0,0.05,True,67.5,270,True
4,0,0.05,False,20.0,80,True
4,0,0.05,True,38.0,152,True
4,0,0.05,False,51.0,204,False
4,0,0.05,True,25.75,103,False
4,0,0.05,False,28.5,114,True
4,0,0.05,True,125.5,502,False
4,0,0.05,False,39.0,156,False
4,0,0.05,True,0.0,0,True
4,0,0.05,False,63.75,255,False
4,0,0.05,True,36.25,145,False
4,0,0.05,False,26.25,105,True
4,0,0.05,True,38.0,152,True
4,0,0.05,False,20.5,82,True
4,0,0.05,True,71.5,286,False
4,0,0.05,False,22.75,91,True
4,0,0.05,True,36.5,146,True
4,0,0.05,False,0.0,0,True
4,0,0.05,True,25.5,102,True
4,0,0.05,False,38.75,155,False
4,0,0.05,True,189.0,756,True
4,0,0.05,False,37.5,150,False
4,0,0.05,True,0.0,0,True
4,0,0.05,False,65.0,260,False
4,0,0.05,True,126.5,506,False
4,0,0.05,False,0.0,0,True
4,0,0.05,True,26.5,106,True
4,0,0.05,False,0.0,0,True
4,0,0.05,True,0.0,0,True
4,0,0.05,False,50.5,202,False
4,0,0.05,True,0.0,0,True
4,0,0.05,False,0.0,0,True
4,0,0.05,True,74.5,298,False
4,0,0.05,False,38.5,154,False
4,0,0.05,True,27.75,111,False
4,0,0.05,False,38.75,155,False
4,0,0.05,True,27.25,109,False
4,0,0.05,False,0.0,0,True
4,0,0.05,True,0.0,0,True
4,0,0.05,False,0.0,0,True
4,0,0.05,True,0.0,0,True
4,0,0.05,False,21.25,85,True
4,0,0.05,True,78.0,312,False
